u,g,r,i,z,class
20.14134,19.28787,19.04397,18.968970000000002,18.79573,A
24.927989999999998,22.96651,21.37353,20.09437,19.4394,M
24.60322,21.742729999999998,20.24235,19.28474,19.20071,M
19.428379999999997,17.75452,17.113960000000002,16.88803,16.73496,F
24.33942,24.80292,22.060760000000002,20.395020000000002,19.63455,M
20.63447,19.715020000000003,19.43698,19.33182,19.3276,A
21.40989,20.27692,19.95501,19.842489999999998,19.960820000000002,F
20.825110000000002,19.794520000000002,19.417939999999998,19.29063,19.22666,A
20.71977,19.57442,19.23711,19.12593,18.944020000000002,F
20.541320000000002,19.65941,19.3566,19.26207,19.25345,A
19.77825,19.77906,19.96566,19.69764,19.30625,M
21.30428,20.2656,19.84057,19.68989,19.67125,F
20.708579999999998,19.82321,19.53193,19.42819,19.409370000000003,A
21.30735,20.38909,20.139329999999998,19.989810000000002,19.96395,F
20.81289,19.85858,19.50992,19.40924,19.33171,F
21.32957,20.24014,20.009629999999998,19.862560000000002,19.78408,A
20.868370000000002,19.68488,19.30828,19.204279999999997,19.120810000000002,F
20.832539999999998,19.87557,19.53967,19.47956,19.42246,F
20.763679999999997,19.87312,19.51726,19.3781,19.32649,F
21.2753,20.36724,20.104789999999998,19.94412,19.915770000000002,F
20.81556,19.86099,19.54833,19.42335,19.33642,F
21.16818,20.09292,19.83544,19.78291,19.654510000000002,F
21.45099,20.36617,19.995910000000002,19.882189999999998,19.80515,F
20.924039999999998,20.14247,19.80895,19.68647,19.73324,F
21.225929999999998,20.20968,19.89542,19.744020000000003,19.6265,F
21.52311,20.20769,19.81951,19.71945,19.93536,F
21.046999999999997,19.9495,19.61459,19.45834,19.50664,F
20.74524,19.76783,19.43386,19.31569,19.365479999999998,F
20.0845,20.14793,20.42878,20.73242,21.4609,O
20.980610000000002,19.96964,19.72915,19.58879,19.73872,F
20.576079999999997,19.62155,19.23969,19.08304,18.9665,F
20.94136,19.834410000000002,19.60141,19.504070000000002,19.45637,A
20.81513,19.79638,19.49665,19.449379999999998,19.40798,F
21.01998,20.04725,19.67911,19.62351,19.52992,F
21.12732,19.98447,19.618920000000003,19.53322,19.49587,F
20.74739,19.727,19.39185,19.25159,19.2161,F
20.758029999999998,19.941010000000002,19.55275,19.44352,19.4633,A
20.72961,19.753989999999998,19.44353,19.32624,19.303379999999997,F
20.88019,19.883589999999998,19.58547,19.47757,19.566979999999997,A
20.49532,19.56859,19.16304,19.02599,19.03266,F
21.42628,20.44568,20.049020000000002,19.89904,19.9889,F
21.0433,19.959870000000002,19.594279999999998,19.42718,19.41019,F
20.63281,19.62155,19.28398,19.10689,18.95037,F
20.84379,20.06855,19.67549,19.58833,19.53122,A
21.1163,20.01315,19.719179999999998,19.5653,19.57936,F
21.17191,20.25011,19.84939,19.70721,19.642220000000002,F
21.308329999999998,20.36574,20.064239999999998,19.90355,19.77359,F
20.54042,19.642210000000002,19.37189,19.295270000000002,19.3422,A
21.25681,20.38008,20.02923,19.91493,19.76137,F
21.11196,20.12381,19.83076,19.78585,19.938760000000002,A
20.66304,19.68238,19.433120000000002,19.22963,19.35574,A
21.311729999999997,20.277279999999998,20.005879999999998,19.88958,20.01495,A
21.13545,20.09601,19.73675,19.65563,19.52901,F
18.89333,17.85076,17.44715,17.312070000000002,17.24033,F
20.29511,19.20416,19.24211,19.3024,19.37635,A
25.4113,22.03119,20.42074,18.48433,17.4044,M
20.5763,19.58993,19.28106,19.1533,19.039839999999998,F
17.232039999999998,16.13494,16.081879999999998,16.10596,16.18822,A
23.60163,21.08952,19.61205,18.55288,17.97568,M
22.81606,21.06648,19.41197,17.10595,15.78145,M
26.37545,22.66568,21.5911,19.12485,17.821920000000002,M
16.70852,15.419429999999998,15.55676,15.68905,15.74654,A
17.33267,17.587020000000003,18.04151,18.39909,18.709770000000002,B
20.26044,18.99788,18.54164,18.59682,18.30603,F
24.43252,23.20151,21.24464,19.25666,18.06288,M
17.929389999999998,16.91423,16.59536,16.46098,16.42106,F
19.60531,19.68489,19.85485,19.33825,18.93439,M
25.30978,21.951420000000002,20.38964,18.48186,17.39183,M
23.550520000000002,21.32796,19.931379999999997,18.68574,17.92013,M
17.38741,16.365,16.03119,15.90487,15.86713,F
17.31431,16.3179,16.01625,15.88551,15.8505,F
19.78282,18.62454,18.51577,18.494670000000003,18.51955,A
19.82759,18.75804,18.501279999999998,18.4246,18.46174,F
18.96854,17.59056,17.04068,16.83774,16.72351,F
19.26132,18.04017,17.98372,17.99914,18.07752,A
20.0397,20.40648,18.69097,18.59072,18.57882,F
19.9816,18.85952,18.70065,18.67997,18.74098,A
24.01669,21.30407,19.39859,18.42899,17.849320000000002,M
23.98314,22.441470000000002,20.808770000000003,18.87911,17.82321,M
19.19797,18.25542,17.95944,17.82945,17.817729999999997,A
18.88387,17.60758,17.128610000000002,16.940910000000002,16.84992,F
19.35023,18.18662,18.34644,18.47891,18.5516,A
17.302789999999998,16.19772,15.855670000000002,15.728710000000001,15.7073,F
23.41779,22.94981,21.39813,19.326539999999998,18.18112,M
20.82691,19.59654,19.25023,19.099239999999998,19.060389999999998,F
23.449289999999998,20.845660000000002,19.26755,17.69657,16.821189999999998,M
17.30797,16.3357,16.02751,15.9063,15.887720000000002,F
24.093770000000003,22.511329999999997,21.15096,19.27455,18.28213,M
19.660339999999998,18.54326,18.22984,18.0594,18.07075,F
19.929129999999997,18.83296,18.546020000000002,18.404429999999998,18.44455,F
18.45325,17.368270000000003,17.12463,17.03191,17.04791,F
